%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1771787234526849508,1.2,0.0,0.0,0.0,0.0,0.0002510883321060753
1771787234543408870,1.2,0.0,0.0,0.0,0.0,0.00023065215345408063
1771787234559883117,1.2,0.0,0.0,0.0,0.0,0.00021013941079228715
1771787234576761245,1.2,0.0,0.0,0.0,0.0,0.0001918078704332693
1771787234593408584,1.2,0.0,0.0,0.0,0.0,0.0001749439405513975
1771787234610146045,1.2,0.0,0.0,0.0,0.0,0.00015954778893645383
1771787234626873016,1.2,0.0,0.0,0.0,0.0,0.00014633696084098702
1771787234643446207,1.2,0.0,0.0,0.0,0.0,0.00013388119948265498
1771787234660261869,1.2,0.0,0.0,0.0,0.0,0.00012289764729223052
1771787234676927328,1.2,0.0,0.0,0.0,0.0,0.00011168923483673154
1771787234693371295,1.2,0.0,0.0,0.0,0.0,0.00010291959991182154
1771787234710405111,1.2,0.0,0.0,0.0,0.0,9.317280882026324e-05
1771787234726817607,1.2,0.0,0.0,0.0,0.0,8.662148131044489e-05
1771787234743727207,1.2,0.0,0.0,0.0,0.0,7.833846555715951e-05
1771787234760077476,1.2,0.0,0.0,0.0,0.0,7.077796170751327e-05
1771787234776925325,1.2,0.0,0.0,0.0,0.0,6.647988947605654e-05
1771787234793147087,1.2,0.0,0.0,0.0,0.0,5.358917440467792e-05
1771787234809913396,1.2,0.0,0.0,0.0,0.0,4.894588791204413e-05
1771787234826640367,1.2,0.0,0.0,0.0,0.0,4.502721327659387e-05
1771787234843341827,1.2,0.0,0.0,0.0,0.0,4.111701587206085e-05
1771787234859966516,1.2,0.0,0.0,0.0,0.0,3.7218154289142547e-05
1771787234876616239,1.2,0.0,0.0,0.0,0.0,3.4045061220844275e-05
1771787234893237352,1.2,0.0,0.0,0.0,0.0,3.15981645728769e-05
1771787234909868240,1.2,0.0,0.0,0.0,0.0,2.844609157159894e-05
1771787234926770925,1.2,0.0,0.0,0.0,0.0,2.6737693400669116e-05
1771787234943275451,1.2,0.0,0.0,0.0,0.0,2.4326411345310106e-05
1771787234960008382,1.2,0.0,0.0,0.0,0.0,2.264192058643033e-05
1771787234976587533,1.2,0.0,0.0,0.0,0.0,2.09722466459894e-05
1771787234993429899,1.2,0.0,0.0,0.0,0.0,1.931663669685335e-05
1771787235010107278,1.2,0.0,0.0,0.0,0.0,1.7674293483427306e-05
1771787235026662826,1.2,0.0,0.0,0.0,0.0,1.6763981776080072e-05
1771787235043527364,1.2,0.0,0.0,0.0,0.0,1.586974947720421e-05
1771787235060194730,1.2,0.0,0.0,0.0,0.0,1.4275601588842335e-05
1771787235076621055,1.2,0.0,0.0,0.0,0.0,1.1754626316307082e-05
1771787235093434810,1.2,0.0,0.0,0.0,0.0,1.0874834450280702e-05
1771787235110175848,1.2,0.0,0.0,0.0,0.0,1.072844280214369e-05
1771787235126835346,1.2,0.0,0.0,0.0,0.0,9.884254830616612e-06
1771787235143179178,1.2,0.0,0.0,0.0,0.0,9.776922496929075e-06
1771787235160009622,1.2,0.0,0.0,0.0,0.0,8.975404909961071e-06
1771787235176823854,1.2,0.0,0.0,0.0,0.0,6.281732017221486e-06
1771787235193506956,1.2,0.0,0.0,0.0,0.0,6.193828987033356e-06
1771787235209987163,1.2,0.0,0.0,0.0,0.0,6.086338653066292e-06
1771787235226627349,1.2,0.0,0.0,0.0,0.0,6.78640816209608e-06
